t_index   term            df    
1040      ahmedabad       20    
1041      ahold           1     
1042      ahren           1     
1043      ai              1     
1044      aid             158   
1045      aida            2     
1046      ail             5     
1047      ailment         1     
1048      aim             35    
1049      ainst           1     
1050      air             170   
1051      aircondition    1     
1052      aircraft        27    
1053      airdrop         2     
1054      airfield        1     
1055      airforc         1     
1056      airlift         4     
1057      airlin          6     
1058      airlock         1     
1059      airman          1     
1060      airmen          11    
1061      airplan         7     
1062      airport         49    
1063      airqual         1     
1064      airstrik        4     
1065      airtim          2     
1066      airtoair        1     
1067      airtraff        1     
1068      airwav          1     
1069      airway          3     
1070      aisl            2     
1071      aisle           1     
1072      aj              1     
1073      ajax            1     
1074      ajnar           3     
1075      ajw             1     
1076      akaka           2     
1077      akan            2     
1078      akin            3     
1079      akishio         1     
1080      akouedo         1     
1081      al              74    
1082      ala             4     
1083      alabama         5     
1084      alabidin        4     
1085      alahmar         1     
1086      alain           1     
1087      alami           1     
1088      alamoudi        1     
1089      alan            5     
1090      alarm           19    
1091      alas            2     
1092      alasan          1     
1093      alaska          3     
1094      alaskan         1     
1095      alassan         27    
1096      alayyam         1     
1097      albadawi        1     
1098      albani          1     
1099      albania         1     
1100      albanian        18    
1101      albanianamerican1     
1102      albeit          4     
1103      albert          1     
1104      alberto         66    
1105      albright        47    
1106      album           1     
1107      alce            3     
1108      alcohol         5     
1109      alehandr        1     
1110      alejandro       14    
1111      aleksa          1     
1112      aleksandar      6     
1113      aler            1     
1114      alert           62    
1115      alessio         4     
1116      alex            10    
1117      alexa           2     
1118      alexand         9     
1119      alexandria      1     
1120      alexei          1     
1121      alexeyev        1     
1122      alexsand        1     
1123      alfadhli        1     
1124      alfonso         1     
1125      alfr            2     
1126      alfredo         1     
1127      algamaa         2     
1128      algamaat        1     
1129      algeria         3     
1130      algerian        5     
1131      algerin         1     
1132      alghashmi       1     
1133      alhadith        1     
1134      alhamdi         1     
1135      alharazi        2     
1136      alhassan        1     
1137      ali             44    
1138      alia            2     
1139      alibi           1     
1140      alien           3     
1141      alight          1     
1142      align           5     
1143      alija           1     
1144      alik            9     
1145      aliryani        11    
1146      alisan          2     
1147      alisha          1     
1148      alislamiya      2     
1149      alislaymiyya    1     
1150      aliv            82    
1151      alive           3     
1152      aljazeera       3     
1153      aljefri         1     
1154      aljihad         1     
1155      alkhamri        1     
1156      all             24    
1157      allafrica       1     
1158      allah           1     
1159      allahabad       2     
1160      allahbad        1     
1161      allan           1     
1162      alleg           72    
1163      allegedli       23    
1164      allegi          1     
1165      allen           22    
1166      allentown       1     
1167      alley           2     
1168      alleyway        3     
1169      allfranc        1     
1170      allfrench       2     
1171      alli            86    
1172      allianc         10    
1173      alliance        1     
1174      allimport       1     
1175      alliz           1     
1176      allnight        2     
1177      allot           1     
1178      allow           133   
1179      allparti        1     
1180      allstar         1     
1181      alltim          1     
1182      allud           2     
1183      allus           5     
1184      allwilliam      1     
1185      ally            1     
1186      alma            1     
1187      almagor         1     
1188      almasri         2     
1189      almegrahi       1     
1190      almidhar        2     
1191      almihdar        3     
1192      almost          118   
1193      almuhajiroun    3     
1194      almusawah       3     
1195      alnaderi        2     
1196      alnahdi         1     
1197      alnizali        1     
1198      alomeri         1     
1199      alon            38    
1200      alone           1     
1201      along           118   
1202      alongsid        39    
1203      alou            1     
1204      alowhali        2     
1205      alpha           2     
1206      alphabet        3     
1207      alpin           1     
1208      alqadhi         2     
1209      alqaeda         1     
1210      alqaida         3     
1211      alreadi         164   
1212      alribat         1     
1213      alshahrani      3     
1214      alsharia        1     
1215      alsharjani      1     
1216      alsharq         1     
1217      alshueib        1     
1218      also            477   
1219      alter           8     
1220      altern          20    
1221      although        83    
1222      altitud         1     
1223      altogeth        4     
1224      aluminum        2     
1225      alun            6     
1226      alwadi          1     
1227      alway           93    
1228      alzawahri       2     
1229      alzindani       1     
1230      amad            3     
1231      amanda          17    
1232      amarillo        2     
1233      amartej         3     
1234      amaru           4     
1235      amass           4     
1236      amateur         2     
1237      amaz            8     
1238      amazing         2     
1239      amazingli       1     
1240      ambassador      47    
1241      ambersag        1     
1242      ambigu          1     
1243      ambit           8     
1244      ambiti          2     
1245      ambival         2     
1246      ambul           11    
1247      ambush          1     
1248      ameli           6     
1249      amend           2     
1250      amerasian       1     
1251      america         128   
1252      american        341   
1253      americanislam   1     
1254      americanl       1     
1255      americans       2     
1256      americanstatesman1     
1257      americanyemeni  1     
1258      americorp       1     
1259      amh             1     
1260      ami             2     
1261      amiabl          2     
1262      amic            1     
1263      amid            51    
1264      amidship        2     
1265      amin            1     
1266      amit            1     
1267      amman           2     
1268      ammo            1     
1269      ammonium        1     
1270      ammunit         22    
1271      amnesia         2     
1272      amnesti         2     
1273      among           182   
1274      amongst         2     
1275      amount          30    
1276      amp             5     
1277      amphibi         3     
1278      ampl            2     
1279      ampli           1     
1280      amplifi         1     
